Facility_Name,Municipality,Confirmed_Resident_Cases,Confirmed_Staff_Cases,Confirmed_Resident_Deaths,Confirmed_Staff_Deaths,Reported_Date,County,Concluded_Date
Brandywine Living at Brandall Estates,Linwood,4,8,0,0,12/18/2023,Atlantic,2/5/2024
Autumn Lake Healthcare at Linwood,Linwood,24,7,0,0,12/13/2023,Atlantic,2/8/2024
Preferred Care at Absecon,Absecon,7,3,0,0,12/1/2023,Atlantic,2/20/2024
Our Lady's Center for Rehabilitation & Healthcare,Pleasantville,55,4,0,0,11/9/2023,Atlantic,1/10/2024
Royal Suites Healthcare and Rehabilitation,Galloway,35,2,1,0,11/2/2023,Atlantic,1/9/2024
New Standard Living of Egg Harbor Township,Egg Harbor Twp,18,0,1,0,10/20/2023,Atlantic,11/17/2023
Brandywine Living at Brandall Estates,Linwood,2,1,0,0,10/11/2023,Atlantic,11/14/2023
Hammonton Center,Hammonton,7,17,0,0,9/27/2023,Atlantic,1/5/2024
The Health Center at Galloway,Galloway,1,7,0,0,9/26/2023,Atlantic,10/31/2023
ExcelCare at Egg Harbor (formerly Egg Harbor Care Center),Egg Harbor Twp,19,2,1,0,9/22/2023,Atlantic,11/8/2023
Woodview Estates,Hamilton Twp,5,5,0,0,9/20/2023,Atlantic,11/27/2023
Royal Suites Healthcare and Rehabilitation,Galloway,34,7,0,0,8/25/2023,Atlantic,10/17/2023
Autumn Lake Healthcare at Linwood,Linwood,2,1,0,0,8/23/2023,Atlantic,9/19/2023
Heritage Assisted Living,Hammonton,17,3,0,0,8/11/2023,Atlantic,9/18/2023
Seashore Gardens Living Center,Galloway,70,19,2,0,7/18/2023,Atlantic,1/16/2024
Our Lady's Center for Rehabilitation & Healthcare,Pleasantville,1,0,0,0,7/10/2023,Atlantic,8/7/2023
Meadowview Nursing and Rehabilitation Center,Northfield,24,17,0,0,7/6/2023,Atlantic,10/17/2023
New Standard Living of Egg Harbor Township,Egg Harbor Twp,10,0,0,0,6/23/2023,Atlantic,8/7/2023
The Health Center at Galloway,Galloway,12,8,0,0,6/23/2023,Atlantic,8/18/2023
Our Lady's Center for Rehabilitation & Healthcare,Pleasantville,5,3,0,0,5/26/2023,Atlantic,6/21/2023
Preferred Care at Absecon,Absecon,22,4,0,0,3/9/2023,Atlantic,5/24/2023
Woodview Estates,Hamilton Twp,1,0,0,0,2/16/2023,Atlantic,3/13/2023
Somers Place,Egg Harbor Twp,4,6,0,0,2/14/2023,Atlantic,3/20/2023
The Health Center at Galloway,Galloway,78,28,0,0,1/31/2023,Atlantic,4/17/2023
Our Lady's Center for Rehabilitation & Healthcare,Pleasantville,18,10,0,0,1/10/2023,Atlantic,3/17/2023
ExcelCare at the Pines (formerly Eastern Pines Nursing and Rehabilitation),Atlantic City,29,5,0,0,1/3/2023,Atlantic,2/27/2023
Autumn Lake Healthcare at Linwood,Linwood,74,27,2,0,12/30/2022,Atlantic,4/12/2023
Heritage Assisted Living,Hammonton,23,6,0,0,12/28/2022,Atlantic,3/21/2023
Brandywine Living at Brandall Estates,Linwood,19,8,0,0,12/27/2022,Atlantic,2/14/2023
Spring Home At Galloway (formerly Spring Village Assisted Living),Galloway,6,0,0,0,12/19/2022,Atlantic,1/26/2023
Somers Place,Egg Harbor Twp,14,4,0,0,12/15/2022,Atlantic,2/7/2023
Woodview Estates,Hamilton Twp,10,9,0,0,12/12/2022,Atlantic,2/8/2023
Royal Suites Healthcare and Rehabilitation,Galloway,60,31,1,0,11/29/2022,Atlantic,4/4/2023
ExcelCare at Egg Harbor (formerly Egg Harbor Care Center),Egg Harbor Twp,58,11,0,0,11/18/2022,Atlantic,4/25/2023
Preferred Care at Absecon,Absecon,43,7,3,0,11/11/2022,Atlantic,3/1/2023
Seashore Gardens Living Center,Galloway,31,20,1,0,10/26/2022,Atlantic,3/15/2023
Spring Home At Galloway (formerly Spring Village Assisted Living),Galloway,2,0,0,0,10/21/2022,Atlantic,11/17/2022
Woodview Estates,Hamilton Twp,9,2,1,0,9/23/2022,Atlantic,11/2/2022
Heritage Assisted Living,Hammonton,2,0,0,0,8/26/2022,Atlantic,10/4/2022
Somers Place,Egg Harbor Twp,4,2,0,0,8/9/2022,Atlantic,9/20/2022
Spring Home At Galloway (formerly Spring Village Assisted Living),Galloway,5,0,0,0,8/9/2022,Atlantic,9/19/2022
Brandywine Living at Brandall Estates,Linwood,7,10,0,0,7/26/2022,Atlantic,12/12/2022
Woodview Estates,Hamilton Twp,3,3,0,0,7/12/2022,Atlantic,9/19/2022
ExcelCare at Egg Harbor (formerly Egg Harbor Care Center),Egg Harbor Twp,22,14,0,0,7/12/2022,Atlantic,10/11/2022
Autumn Lake Healthcare at Linwood,Linwood,25,20,0,0,7/7/2022,Atlantic,10/7/2022
Our Lady's Center for Rehabilitation & Healthcare,Pleasantville,22,14,0,0,7/5/2022,Atlantic,12/1/2022
Preferred Care at Absecon,Absecon,14,6,0,0,6/23/2022,Atlantic,8/15/2022
ExcelCare at the Pines (formerly Eastern Pines Nursing and Rehabilitation),Atlantic City,3,8,0,0,6/9/2022,Atlantic,10/7/2022
Heritage Assisted Living,Hammonton,7,6,0,0,6/6/2022,Atlantic,8/1/2022
Brandywine Living at Brandall Estates,Linwood,6,0,0,0,6/2/2022,Atlantic,7/6/2022
Royal Suites Healthcare and Rehabilitation,Galloway,21,14,1,0,6/1/2022,Atlantic,8/15/2022
Somers Place,Egg Harbor Twp,9,5,0,0,5/23/2022,Atlantic,7/22/2022
The Health Center at Galloway,Galloway,5,26,0,0,5/12/2022,Atlantic,10/24/2022
Meadowview Nursing and Rehabilitation Center,Northfield,17,55,3,0,5/11/2022,Atlantic,4/20/2023
Seashore Gardens Living Center,Galloway,58,30,1,0,5/10/2022,Atlantic,10/13/2022
Autumn Lake Healthcare at Linwood,Linwood,7,10,0,0,4/27/2022,Atlantic,6/28/2022
Woodview Estates,Hamilton Twp,5,4,0,0,4/26/2022,Atlantic,6/28/2022
Our Lady's Center for Rehabilitation & Healthcare,Pleasantville,19,17,1,0,4/13/2022,Atlantic,6/16/2022
Spring Home Memory Care (formerly Spring Village Memory Care),Galloway,1,0,0,0,3/18/2022,Atlantic,4/14/2022
Our Lady's Center for Rehabilitation & Healthcare,Pleasantville,1,0,0,0,3/9/2022,Atlantic,4/5/2022
Heritage Assisted Living,Hammonton,22,16,0,0,1/10/2022,Atlantic,3/11/2022
Woodview Estates,Hamilton Twp,16,8,0,0,1/4/2022,Atlantic,3/21/2022
Brandywine Living at Brandall Estates,Linwood,11,3,0,0,12/31/2021,Atlantic,2/22/2022
Somers Place,Egg Harbor Twp,10,5,1,0,12/30/2021,Atlantic,2/8/2022
Hammonton Center,Hammonton,230,117,3,0,12/29/2021,Atlantic,5/1/2023
Villa Raffaella Assisted Living,Pleasantville,1,7,1,0,12/27/2021,Atlantic,2/8/2022
CareOne at Valley,Westwood,38,2,0,0,12/16/2024,Bergen,2/21/2025
Jewish Home at Rockleigh,Rockleigh,17,17,0,0,12/11/2024,Bergen,1/28/2025
Alaris Health at the Chateau,Rochelle Park,11,3,0,0,12/9/2024,Bergen,1/21/2025
CareOne at Ridgewood,Paramus,22,9,1,0,12/9/2024,Bergen,1/24/2025
Allegro Harrington Park,Harrington Park,18,5,0,0,11/25/2024,Bergen,1/24/2025
Brightview Tenafly,Tenafly,18,3,0,0,11/19/2024,Bergen,1/24/2025
The Bristal of Waldwick,Waldwick,29,1,1,0,11/4/2024,Bergen,2/24/2025
Brookdale Emerson,Emerson Boro,3,5,0,0,10/30/2024,Bergen,12/13/2024
CareOne at New Milford,New Milford,37,15,1,0,10/22/2024,Bergen,12/2/2024
Allendale Nursing Home,Allendale,19,6,0,0,10/22/2024,Bergen,12/11/2024
CareOne at the Cupola,Paramus,8,1,1,0,10/16/2024,Bergen,11/19/2024
Mill Gardens at Midland Park,Midland Park,3,0,0,0,10/15/2024,Bergen,11/19/2024
Fox Trail Memory Care Living-Paramus,Paramus,7,2,0,0,10/15/2024,Bergen,11/15/2024
Brandywine Assisted Living- Mahwah,Mahwah,3,1,0,0,10/14/2024,Bergen,11/14/2024
CareOne at Oradell,Oradell,15,0,0,0,10/10/2024,Bergen,11/19/2024
CareOne at Cresskill §,Cresskill,32,2,0,0,10/8/2024,Bergen,1/22/2025
The Chelsea at Fair Lawn,Fair Lawn,9,1,0,0,10/8/2024,Bergen,11/26/2024
CareOne at Valley,Westwood,31,3,3,0,10/7/2024,Bergen,11/27/2024
Sunrise of Woodcliff Lakes,Woodcliff Lake,13,0,0,0,10/7/2024,Bergen,12/2/2024
Family of Caring Teaneck (formerly Teaneck Nursing Center),Teaneck,1,2,0,0,10/7/2024,Bergen,11/4/2024
Woodcliff Lake Health & Rehab Center,Woodcliff Lake,32,2,0,0,10/3/2024,Bergen,12/18/2024
Harmony Village at CareOne Paramus,Paramus,0,3,0,0,9/23/2024,Bergen,10/17/2024
Brookdale Emerson,Emerson Boro,3,0,0,0,9/3/2024,Bergen,9/26/2024
Sunrise of Edgewater,Edgewater,16,0,0,0,8/29/2024,Bergen,11/22/2024
Brightside Manor at Teaneck,Teaneck,2,0,0,0,8/27/2024,Bergen,9/27/2024
Family of Caring Atrium Post Acute Care of Parkridge (formerly Spring Hills Atrium Post Acute Care Park Ridge),Park Ridge,8,0,0,0,8/27/2024,Bergen,11/1/2024
Jewish Home at River Vale,River Vale,9,4,0,0,8/22/2024,Bergen,10/24/2024
Ridgewood Center,Village of Ridgewood,4,0,0,0,8/19/2024,Bergen,11/4/2024
Christian Center - Heritage Manor West,Wyckoff Twp,25,8,0,0,8/18/2024,Bergen,10/7/2024
Sunrise Assisted Living of Paramus,Paramus,17,4,0,0,8/15/2024,Bergen,11/15/2024
Juniper Village at Paramus,Paramus,23,1,2,0,8/15/2024,Bergen,10/21/2024
Bergen New Bridge Medical Center,Paramus,23,13,0,0,8/12/2024,Bergen,11/27/2024
CareOne at Teaneck,Teaneck,28,14,2,0,8/12/2024,Bergen,10/29/2024
The Residence at Park Ridge (formerly Family of Caring Assisted Living),Park Ridge,12,5,0,0,8/12/2024,Bergen,9/19/2024
Family of Caring Teaneck (formerly Teaneck Nursing Center),Teaneck,24,4,2,0,8/8/2024,Bergen,9/20/2024
Family of Caring at Ridgewood,Village of Ridgewood,9,0,0,0,8/8/2024,Bergen,10/2/2024
Fox Trail Memory Care Living at Mahwah,Mahwah,5,3,0,0,8/8/2024,Bergen,9/13/2024
Alaris Health at the Chateau,Rochelle Park,1,2,0,0,8/6/2024,Bergen,9/3/2024
CareOne at Ridgewood,Paramus,37,12,3,0,8/2/2024,Bergen,11/8/2024
Dellridge Health and Rehabilitation Center,Paramus,22,7,2,0,7/31/2024,Bergen,10/17/2024
CareOne at Oradell,Oradell,4,3,0,0,7/31/2024,Bergen,9/12/2024
Woodcliff Lake Health & Rehab Center,Woodcliff Lake,4,1,0,0,7/30/2024,Bergen,9/4/2024
Maple Glen Center - Genesis Healthcare,Fair Lawn,9,9,0,0,7/27/2024,Bergen,9/6/2024
Jewish Home at Rockleigh,Rockleigh,6,3,1,0,7/24/2024,Bergen,10/24/2024
Brightview Paramus,Paramus,2,0,0,0,7/22/2024,Bergen,8/20/2024
Christian Center - Longview,Wyckoff Twp,18,4,0,0,7/22/2024,Bergen,10/2/2024
Brookdale Emerson,Emerson Boro,3,0,0,0,7/22/2024,Bergen,8/23/2024
Fox Trail Memory Care Living at Cresskill,Cresskill,10,0,1,0,7/18/2024,Bergen,8/23/2024
Sunrise of Franklin Lakes,Franklin Lakes,1,3,0,0,7/17/2024,Bergen,9/4/2024
The Actors Fund Home (Assisted Living),Englewood,16,0,0,0,7/15/2024,Bergen,9/3/2024
CareOne at Valley §,Westwood,6,0,1,0,7/11/2024,Bergen,8/23/2024
CareOne at Wellington §,Hackensack,8,5,1,0,7/10/2024,Bergen,9/4/2024
Brightview Tenafly,Tenafly,9,0,0,0,7/9/2024,Bergen,9/27/2024
Buckingham at Norwood,Norwood,13,3,0,0,7/9/2024,Bergen,9/6/2024
Christian Center - Southgate,Wyckoff Twp,5,0,0,0,7/9/2024,Bergen,9/3/2024
The Actors Fund Home,Englewood,12,0,0,0,7/8/2024,Bergen,8/7/2024
The Chelsea at Washington Township,Washington Township,14,2,0,0,7/8/2024,Bergen,9/19/2024
Complete Care Regent,Hackensack,6,8,0,0,7/1/2024,Bergen,9/3/2024
Family of Caring at Tenafly (formerly County Manor Rehabilitation and Healthcare),Tenafly,4,0,0,0,7/1/2024,Bergen,7/26/2024
Sunrise of Old Tappan,Old Tappan,4,0,0,0,6/28/2024,Bergen,7/26/2024
Christian Center - Heritage Manor East §,Wyckoff Twp,32,5,2,0,6/28/2024,Bergen,8/30/2024
CareOne at New Milford,New Milford,2,2,0,0,6/26/2024,Bergen,7/31/2024
Brighton Gardens of Saddle River,Saddle River,23,8,0,0,6/25/2024,Bergen,9/20/2024
Bergen New Bridge Medical Center,Paramus,23,7,0,0,6/24/2024,Bergen,8/12/2024
Brightside Manor at Teaneck,Teaneck,2,1,0,0,6/24/2024,Bergen,7/25/2024
Complete Care at Prospect Heights §,Hackensack,26,17,0,0,6/24/2024,Bergen,12/4/2024
Paramus Veterans Memorial Home,Paramus,97,47,1,0,6/10/2024,Bergen,10/15/2024
Jewish Home at River Vale,River Vale,14,1,0,0,6/4/2024,Bergen,7/11/2024
Family of Caring Atrium Post Acute Care of Parkridge (formerly Spring Hills Atrium Post Acute Care Park Ridge),Park Ridge,12,0,0,0,5/30/2024,Bergen,7/22/2024
Brandywine Assisted Living- Mahwah,Mahwah,3,4,0,0,5/24/2024,Bergen,9/9/2024
CareOne at Oradell,Oradell,20,19,1,0,5/16/2024,Bergen,7/5/2024
CareOne at Ridgewood,Paramus,11,1,1,0,5/14/2024,Bergen,7/1/2024
Christian Center - Longview,Wyckoff Twp,2,0,0,0,5/13/2024,Bergen,6/10/2024
Alaris Health at the Chateau,Rochelle Park,26,15,1,0,4/30/2024,Bergen,6/7/2024
Brighton Gardens of Saddle River,Saddle River,3,3,0,0,4/24/2024,Bergen,5/23/2024
Family of Caring Teaneck (formerly Teaneck Nursing Center),Teaneck,7,2,0,0,4/19/2024,Bergen,5/29/2024
Complete Care at Prospect Heights,Hackensack,3,3,1,0,4/16/2024,Bergen,6/4/2024
CareOne at Valley,Westwood,16,4,0,0,4/8/2024,Bergen,5/22/2024
The Chelsea at Washington Township,Washington Township,2,4,0,0,4/8/2024,Bergen,6/25/2024
CareOne at the Cupola,Paramus,37,3,0,0,4/5/2024,Bergen,5/29/2024
Mill Gardens at Midland Park,Midland Park,1,0,0,0,3/25/2024,Bergen,4/23/2024
CareOne at Wellington,Hackensack,1,0,0,0,3/18/2024,Bergen,4/15/2024
The Residence at Park Ridge (formerly Family of Caring Assisted Living) §,Park Ridge,14,0,0,0,3/18/2024,Bergen,6/3/2024
Family of Caring at Tenafly (formerly County Manor Rehabilitation and Healthcare),Tenafly,4,0,0,0,3/15/2024,Bergen,4/16/2024
Complete Care at Inglemoor (formerly Inglemoor Center),Englewood,11,1,1,0,3/1/2024,Bergen,4/12/2024
CareOne at Cresskill,Cresskill,31,0,0,0,2/28/2024,Bergen,5/2/2024
The Bristal of Waldwick,Waldwick,2,0,0,0,2/27/2024,Bergen,3/28/2024
Sunrise of Franklin Lakes,Franklin Lakes,1,0,0,0,2/5/2024,Bergen,3/6/2024
Bristal at Woodcliff Lake,Woodcliff Lake,20,4,0,0,1/29/2024,Bergen,4/19/2024
The Residence at Park Ridge (formerly Family of Caring Assisted Living),Park Ridge,10,0,0,0,1/26/2024,Bergen,3/5/2024
Allendale Nursing Home,Allendale,17,0,1,0,1/20/2024,Bergen,4/11/2024
Dellridge Health and Rehabilitation Center,Paramus,23,7,0,0,1/19/2024,Bergen,3/11/2024
Family of Caring Atrium Post Acute Care of Parkridge (formerly Spring Hills Atrium Post Acute Care Park Ridge),Park Ridge,13,1,0,0,1/18/2024,Bergen,4/9/2024
Complete Care at Prospect Heights,Hackensack,8,2,0,0,1/17/2024,Bergen,3/21/2024
The Bristal at Englewood,Englewood,3,0,0,0,1/16/2024,Bergen,2/13/2024
Maple Glen Center - Genesis Healthcare,Fair Lawn,10,7,0,0,1/16/2024,Bergen,3/27/2024
Mill Gardens at Midland Park,Midland Park,4,1,0,0,1/16/2024,Bergen,2/22/2024
Brightview Paramus,Paramus,11,3,0,0,1/16/2024,Bergen,2/20/2024
Christian Center - Heritage Manor East §,Wyckoff Twp,12,0,0,0,1/12/2024,Bergen,3/20/2024
Woodcliff Lake Health & Rehab Center,Woodcliff Lake,23,10,1,0,1/12/2024,Bergen,5/3/2024
Buckingham at Norwood §,Norwood,11,7,0,0,1/10/2024,Bergen,2/26/2024
Sunrise of Franklin Lakes,Franklin Lakes,4,3,0,0,1/9/2024,Bergen,2/5/2024
Brighton Gardens of Saddle River,Saddle River,8,6,0,0,1/8/2024,Bergen,4/4/2024
Allegro Harrington Park,Harrington Park,16,1,0,0,1/5/2024,Bergen,3/11/2024
The Chelsea at Washington Township,Washington Township,2,6,0,0,1/5/2024,Bergen,3/20/2024
The Residence at Park Ridge (formerly Family of Caring Assisted Living) §,Park Ridge,1,0,0,0,1/4/2024,Bergen,2/5/2024
CareOne at Cresskill,Cresskill,12,7,1,0,1/4/2024,Bergen,2/26/2024
The Actors Fund Home (Assisted Living),Englewood,12,1,0,0,1/4/2024,Bergen,2/8/2024
Family of Caring Teaneck (formerly Teaneck Nursing Center),Teaneck,47,9,3,0,1/3/2024,Bergen,3/14/2024
Brandywine Assisted Living- Mahwah,Mahwah,15,6,0,0,1/3/2024,Bergen,3/5/2024
CareOne at the Cupola §,Paramus,15,0,0,0,1/3/2024,Bergen,2/16/2024
CareOne at Wellington,Hackensack,15,8,0,0,1/3/2024,Bergen,3/8/2024
Christian Center - Southgate,Wyckoff Twp,19,1,0,0,1/1/2024,Bergen,2/12/2024
CareOne at Oradell,Oradell,8,5,0,0,1/1/2024,Bergen,3/19/2024
Care One at Valley Assisted Living,Westwood,3,1,0,0,12/29/2023,Bergen,2/22/2024
Ridgewood Center,Village of Ridgewood,27,5,0,0,12/29/2023,Bergen,2/28/2024
Sunrise of Edgewater,Edgewater,10,0,0,0,12/28/2023,Bergen,2/27/2024
Harmony Village at CareOne Paramus,Paramus,36,15,0,0,12/27/2023,Bergen,3/18/2024
Brightside Manor at Teaneck,Teaneck,12,2,0,0,12/27/2023,Bergen,3/21/2024
CareOne at Valley,Westwood,19,6,2,0,12/27/2023,Bergen,4/8/2024
Brightview Tenafly §,Tenafly,3,3,0,0,12/26/2023,Bergen,4/16/2024
The Chelsea at Fair Lawn,Fair Lawn,4,6,0,0,12/22/2023,Bergen,4/19/2024
Bergen New Bridge Medical Center,Paramus,47,12,0,0,12/20/2023,Bergen,3/13/2024
Complete Care at Inglemoor (formerly Inglemoor Center),Englewood,1,2,0,0,12/20/2023,Bergen,1/25/2024
Juniper Village at Paramus §,Paramus,34,12,0,0,12/18/2023,Bergen,2/16/2024
Family of Caring at Tenafly (formerly County Manor Rehabilitation and Healthcare) §,Tenafly,10,5,0,0,12/18/2023,Bergen,1/30/2024
Sunrise of Woodcliff Lakes,Woodcliff Lake,15,9,0,0,12/15/2023,Bergen,3/5/2024
Emerson Health and Rehabilitation Center,Emerson Boro,36,3,0,0,12/15/2023,Bergen,2/9/2024
Jewish Home at River Vale,River Vale,21,7,0,0,12/15/2023,Bergen,3/15/2024
CareOne at New Milford,New Milford,41,27,1,0,12/14/2023,Bergen,2/27/2024
The Actors Fund Home,Englewood,26,0,1,0,12/13/2023,Bergen,4/3/2024
Complete Care Regent,Hackensack,38,24,2,0,12/12/2023,Bergen,4/4/2024
Five Star Premier Residence of Teaneck,Teaneck,5,1,0,0,12/11/2023,Bergen,2/13/2024
Paramus Veterans Memorial Home,Paramus,18,32,0,0,12/5/2023,Bergen,2/22/2024
Christian Center - Longview,Wyckoff Twp,31,3,0,0,12/5/2023,Bergen,1/26/2024
Sunrise of Old Tappan §,Old Tappan,13,4,1,0,12/4/2023,Bergen,2/13/2024
Family of Caring Atrium Post Acute Care of Parkridge (formerly Spring Hills Atrium Post Acute Care Park Ridge),Park Ridge,5,1,0,0,11/29/2023,Bergen,1/12/2024
Oakland Rehabilitation Center and Healthare Center,Oakland,85,22,5,0,11/28/2023,Bergen,4/29/2024
Arbor Terraces at Norwood (formerly Atria Norwood),Norwood,26,11,0,0,11/28/2023,Bergen,4/10/2024
CareOne at Teaneck,Teaneck,29,26,2,0,11/22/2023,Bergen,3/14/2024
Jewish Home at Rockleigh,Rockleigh,54,38,0,0,11/15/2023,Bergen,3/20/2024
Atlas Healthcare at Maywood (formerly Maywood Center),Maywood,29,18,0,0,11/15/2023,Bergen,3/27/2024
Bristal at Woodcliff Lake,Woodcliff Lake,39,9,1,0,11/14/2023,Bergen,1/12/2024
The Actors Fund Home (Assisted Living),Englewood,4,0,0,0,11/13/2023,Bergen,12/12/2023
Care One at Valley Assisted Living,Westwood,3,0,1,0,11/12/2023,Bergen,1/23/2024
Family of Caring at Tenafly (formerly County Manor Rehabilitation and Healthcare),Tenafly,3,3,0,0,11/9/2023,Bergen,12/6/2023
Thrive at Montvale,Montvale,17,0,1,0,11/9/2023,Bergen,12/27/2023
Alaris Health at the Chateau,Rochelle Park,29,15,0,0,11/9/2023,Bergen,3/21/2024
Complete Care at Prospect Heights,Hackensack,1,0,0,0,11/8/2023,Bergen,12/22/2023
The Bristal of Waldwick,Waldwick,17,4,0,0,11/3/2023,Bergen,2/26/2024
Harmony Village at CareOne Paramus,Paramus,13,3,1,0,11/2/2023,Bergen,12/8/2023
The Actors Fund Home,Englewood,5,0,0,0,11/2/2023,Bergen,12/8/2023
Woodcliff Lake Health & Rehab Center,Woodcliff Lake,32,8,6,0,10/30/2023,Bergen,1/9/2024
CareOne at Wellington,Hackensack,9,0,0,0,10/27/2023,Bergen,12/28/2023
CareOne at Valley,Westwood,2,0,0,0,10/24/2023,Bergen,11/30/2023
Mill Gardens at Midland Park,Midland Park,11,2,0,0,10/23/2023,Bergen,1/9/2024
Emerson Health and Rehabilitation Center,Emerson Boro,2,0,0,0,10/23/2023,Bergen,11/14/2023
CareOne at Cresskill,Cresskill,3,0,0,0,10/23/2023,Bergen,11/27/2023
Complete Care at Inglemoor (formerly Inglemoor Center),Englewood,2,0,0,0,10/19/2023,Bergen,11/27/2023
Bergen New Bridge Medical Center,Paramus,1,5,0,0,10/5/2023,Bergen,11/8/2023
Maple Glen Center - Genesis Healthcare,Fair Lawn,8,3,0,0,10/4/2023,Bergen,1/18/2024
Juniper Village at Paramus,Paramus,22,1,0,0,10/2/2023,Bergen,11/17/2023
Complete Care at Prospect Heights,Hackensack,2,1,0,0,9/28/2023,Bergen,11/8/2023
Dellridge Health and Rehabilitation Center,Paramus,33,14,1,0,9/28/2023,Bergen,11/29/2023
Jewish Home at River Vale,River Vale,2,6,0,0,9/26/2023,Bergen,11/17/2023
Arbor Terraces at Norwood (formerly Atria Norwood),Norwood,4,2,0,0,9/26/2023,Bergen,10/27/2023
Brighton Gardens of Saddle River,Saddle River,2,2,0,0,9/19/2023,Bergen,10/30/2023
Paramus Veterans Memorial Home,Paramus,12,15,0,0,9/18/2023,Bergen,11/17/2023
Family of Caring at Ridgewood,Village of Ridgewood,55,0,3,0,9/18/2023,Bergen,4/3/2024
Alaris Health at the Chateau §,Rochelle Park,13,6,1,0,9/18/2023,Bergen,11/14/2023
Woodcliff Lake Health & Rehab Center §,Woodcliff Lake,8,1,1,0,9/15/2023,Bergen,10/27/2023
Allendale Nursing Home,Allendale,11,0,0,0,9/15/2023,Bergen,1/4/2024
CareOne at Oradell §,Oradell,26,13,0,0,9/12/2023,Bergen,1/9/2024
Sunrise of Cresskill,Cresskill,15,3,1,0,9/11/2023,Bergen,11/8/2023
Family of Caring Teaneck (formerly Teaneck Nursing Center),Teaneck,1,1,0,0,9/8/2023,Bergen,10/23/2023
The Bristal at Englewood,Englewood,19,6,0,0,9/8/2023,Bergen,11/29/2023
Brightside Manor at Teaneck,Teaneck,4,2,0,0,9/7/2023,Bergen,10/17/2023
Brandywine Assisted Living- Mahwah,Mahwah,3,3,0,0,9/7/2023,Bergen,10/31/2023
Christian Center - Heritage Manor East,Wyckoff Twp,3,1,0,0,9/5/2023,Bergen,10/19/2023
Emerson Health and Rehabilitation Center,Emerson Boro,3,0,0,0,9/1/2023,Bergen,10/12/2023
Christian Center - Longview,Wyckoff Twp,4,0,0,0,8/30/2023,Bergen,10/19/2023
The Actors Fund Home,Englewood,4,0,0,0,8/30/2023,Bergen,10/26/2023
CareOne at Wellington,Hackensack,1,0,0,0,8/30/2023,Bergen,9/27/2023
CareOne at New Milford §,New Milford,17,21,0,0,8/30/2023,Bergen,11/8/2023
CareOne at Valley,Westwood,9,6,0,0,8/29/2023,Bergen,10/5/2023
Mill Gardens at Midland Park,Midland Park,14,1,0,0,8/29/2023,Bergen,10/23/2023
Christian Center - Heritage Manor West,Wyckoff Twp,53,21,3,0,8/26/2023,Bergen,2/16/2024
Atlas Healthcare at Maywood (formerly Maywood Center),Maywood,8,0,0,0,8/25/2023,Bergen,10/3/2023
Buckingham at Norwood,Norwood,9,4,0,0,8/21/2023,Bergen,10/2/2023
CareOne at Cresskill,Cresskill,9,4,0,0,8/17/2023,Bergen,10/31/2023
CareOne at Teaneck,Teaneck,17,9,1,0,8/16/2023,Bergen,11/6/2023
